date,net_portfolio_value,net_daily_return,net_daily_log_return,net_cumulative_return,net_cumulative_log_return,net_drawdown,gross_portfolio_value,gross_daily_return,gross_daily_log_return,gross_cumulative_return,gross_cumulative_log_return,gross_drawdown,volume_traded
2007-06-22,1026046.8927231635,0.0009285943022125931,0.000928163425242844,0.026046892723163406,0.025713450112704466,-0.051975670553384035,1026046.8927231635,0.0009285943022125931,0.000928163425242844,0.026046892723163406,0.025713450112704466,-0.051975670553384035,0.0
2007-06-25,1026276.6610543141,0.00022393550702237697,0.00022391043720933532,0.026276661054314143,0.02593736054991384,-0.05176337424449995,1026276.6610543141,0.00022393550702237697,0.00022391043720933532,0.026276661054314143,0.02593736054991384,-0.05176337424449995,171538.47122722282
2007-06-26,1023552.2077041111,-0.0026546967826435175,-0.0026582267388403314,0.02355220770411104,0.023279133811073428,-0.054280654964077746,1023552.2077041111,-0.0026546967826435175,-0.0026582267388403314,0.02355220770411104,0.023279133811073428,-0.054280654964077746,0.0
2007-06-27,1026216.5647192822,0.0026030494537718774,0.002599667388393407,0.026216564719282243,0.025878801199466853,-0.051818900739560636,1026216.5647192822,0.0026030494537718774,0.002599667388393407,0.026216564719282243,0.025878801199466853,-0.051818900739560636,0.0
2007-06-28,1028118.217523161,0.0018530716315214857,0.0018513568124139904,0.028118217523160904,0.027730158011880772,-0.050061853242976184,1028118.217523161,0.0018530716315214857,0.0018513568124139904,0.028118217523160904,0.027730158011880772,-0.050061853242976184,0.0
2007-06-29,1031629.7620304407,0.0034155065511234373,0.003409686956101548,0.031629762030440656,0.03113984496798236,-0.0468173332795655,1031629.7620304407,0.0034155065511234373,0.003409686956101548,0.031629762030440656,0.03113984496798236,-0.0468173332795655,0.0
2007-07-02,1034283.1375373129,0.0025720230304813185,0.0025687210398986637,0.034283137537312935,0.03370856600788105,-0.04436572550850493,1034283.1375373128,0.0025720230304810965,0.002568721039898442,0.03428313753731271,0.03370856600788084,-0.04436572550850504,177718.17425097473
2007-07-03,1032522.0047025012,-0.0017027569829718425,-0.0017042083213951182,0.03252200470250122,0.0320043576864859,-0.04599293844256258,1032522.0047025012,-0.0017027569829717315,-0.001704208321395007,0.03252200470250122,0.0320043576864859,-0.04599293844256258,0.0
2007-07-05,1031718.0186803702,-0.0007786623611597543,-0.0007789656761596349,0.031718018680370275,0.031225392010326373,-0.04673578783367793,1031718.0186803702,-0.0007786623611597543,-0.0007789656761596349,0.031718018680370275,0.031225392010326373,-0.04673578783367793,0.0
2007-07-06,1034169.0671546774,0.0023756961009968602,0.002372878596488715,0.03416906715467727,0.033598270606814924,-0.04447112176161461,1034169.0671546774,0.0023756961009968602,0.002372878596488715,0.03416906715467727,0.033598270606814924,-0.04447112176161461,0.0
2007-07-09,1034826.3745734368,0.0006355899046255331,0.000635388002908701,0.034826374573436736,0.03423365860972358,-0.043863797253028136,1034826.3745734368,0.0006355899046255331,0.000635388002908701,0.034826374573436736,0.03423365860972358,-0.043863797253028136,345213.7440652152
2007-07-10,1034262.522265989,-0.0005448762433023502,-0.0005450247423074445,0.034262522265988915,0.03368863386741608,-0.044384773155266344,1034262.522265989,-0.0005448762433023502,-0.0005450247423074445,0.034262522265988915,0.03368863386741608,-0.044384773155266344,0.0
2007-07-11,1034829.8582045225,0.0005485415224082413,0.0005483911285030261,0.03482985820452256,0.03423702499591917,-0.043860578523896465,1034829.8582045225,0.0005485415224082413,0.0005483911285030261,0.03482985820452256,0.03423702499591917,-0.043860578523896465,0.0
2007-07-12,1039319.1054905478,0.004338150132055851,0.0043287674845402194,0.039319105490547734,0.038565792480459285,-0.03971270216635614,1039319.1054905478,0.004338150132055851,0.0043287674845402194,0.039319105490547734,0.038565792480459285,-0.03971270216635614,0.0
2007-07-13,1042402.7810717027,0.002967015197608003,0.002962622295077274,0.0424027810717027,0.04152841477553671,-0.036863515159613724,1042402.7810717027,0.002967015197608003,0.002962622295077274,0.0424027810717027,0.04152841477553671,-0.036863515159613724,0.0
